No.,productname,unit,quantity,price,total,orderdate,customername,customercontactname,customeraddress,customercity,customerpostalcode,customercountry,shippername,shipperphone,suppliername,suppliercontactname,supplieraddress,suppliercity,supplierpostalcode,suppliercountry,supplierphone,categoryname,categorydescription
315,Gnocchi di nonna Alice,24 - 250 g pkgs.,20,38,760,11/5/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Federal Shipping,(503) 555-9931,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
316,NuNuCa Nup-Nougat-Creme,20 - 450 g glasses,10,14,140,11/6/1996,Familia Arquibaldo,Aria Cruz,"Rua Orós, 92",São Paulo,05442-030,Brazil,Federal Shipping,(503) 555-9931,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510,Confections,"Desserts, candies, and sweet breads"
317,Chartreuse verte,750 cc per bottle,50,18,900,11/6/1996,Familia Arquibaldo,Aria Cruz,"Rua Orós, 92",São Paulo,05442-030,Brazil,Federal Shipping,(503) 555-9931,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68,Beverages,"Soft drinks, coffees, teas, beers, and ales"
318,Boston Crab Meat,24 - 4 oz tins,4,18.4,73.6,11/6/1996,Familia Arquibaldo,Aria Cruz,"Rua Orós, 92",São Paulo,05442-030,Brazil,Federal Shipping,(503) 555-9931,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
319,Rhonbrau Klosterbier,24 - 0.5 l bottles,6,7.75,46.5,11/6/1996,Familia Arquibaldo,Aria Cruz,"Rua Orós, 92",São Paulo,05442-030,Brazil,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Beverages,"Soft drinks, coffees, teas, beers, and ales"
320,Chais,10 boxes x 20 bags,15,18,270,11/7/1996,Die Wandernde Kuh,Rita Müller,Adenauerallee 900,Stuttgart,70563,Germany,United Package,(503) 555-3199,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
321,Tunnbrod,12 - 250 g pkgs.,25,9,225,11/7/1996,Die Wandernde Kuh,Rita Müller,Adenauerallee 900,Stuttgart,70563,Germany,United Package,(503) 555-3199,PB Knäckebröd AB,Lars Peterson,Kaloadagatan 13,Göteborg,S-345 67,Sweden,031-987 65 43,Grains/Cereals,"Breads, crackers, pasta, and cereal"
322,Tourtière,16 pies,24,7.45,178.8,11/8/1996,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA,Speedy Express,(503) 555-9831,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
323,Valkoinen suklaa,12 - 100 g bars,15,16.25,243.75,11/11/1996,La maison d'Asie,Annette Roulet,1 rue Alsace-Lorraine,Toulouse,31000,France,United Package,(503) 555-3199,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Confections,"Desserts, candies, and sweet breads"
324,Gudbrandsdalsost,10 kg pkg.,18,36,648,11/11/1996,La maison d'Asie,Annette Roulet,1 rue Alsace-Lorraine,Toulouse,31000,France,United Package,(503) 555-3199,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
325,Cote de Blaye,12 - 75 cl bottles,20,263.5,5270,11/11/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68,Beverages,"Soft drinks, coffees, teas, beers, and ales"
326,Jack's New England Clam Chowder,12 - 12 oz cans,13,9.65,125.45,11/11/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
327,Gula Malacca,20 - 2 kg bags,77,19.45,1497.65,11/11/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
328,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,10,21.05,210.5,11/11/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
329,Guarana Fantastica,12 - 355 ml cans,10,4.5,45,11/12/1996,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Jardim das rosas n. 32,Lisboa,1675,Portugal,Federal Shipping,(503) 555-9931,Refrescos Americanas LTDA,Carlos Diaz,Av. das Americanas 12.890,São Paulo,5442,Brazil,(11) 555 4640,Beverages,"Soft drinks, coffees, teas, beers, and ales"
330,Tourtière,16 pies,20,7.45,149,11/12/1996,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Jardim das rosas n. 32,Lisboa,1675,Portugal,Federal Shipping,(503) 555-9931,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
331,Queso Cabrales,1 kg pkg.,12,21,252,11/13/1996,Piccolo und mehr,Georg Pipps,Geislweg 14,Salzburg,5020,Austria,Federal Shipping,(503) 555-9931,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Calle del Rosal 4,Oviedo,33007,Spain,(98) 598 76 54,Dairy Products,Cheeses
332,Cote de Blaye,12 - 75 cl bottles,50,263.5,13175,11/13/1996,Piccolo und mehr,Georg Pipps,Geislweg 14,Salzburg,5020,Austria,Federal Shipping,(503) 555-9931,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68,Beverages,"Soft drinks, coffees, teas, beers, and ales"
333,Chais,10 boxes x 20 bags,12,18,216,11/14/1996,Pericles Comidas clásicas,Guillermo Fernández,Calle Dr. Jorge Cash 321,México D.F.,5033,Mexico,Federal Shipping,(503) 555-9931,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
334,Thuringer Rostbratwurst,50 bags x 30 sausgs.,4,123.79,495.16,11/14/1996,Pericles Comidas clásicas,Guillermo Fernández,Calle Dr. Jorge Cash 321,México D.F.,5033,Mexico,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Meat/Poultry,Prepared meats
335,Guarana Fantastica,12 - 355 ml cans,25,4.5,112.5,11/15/1996,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,Speedy Express,(503) 555-9831,Refrescos Americanas LTDA,Carlos Diaz,Av. das Americanas 12.890,São Paulo,5442,Brazil,(11) 555 4640,Beverages,"Soft drinks, coffees, teas, beers, and ales"
336,Ravioli Angelo,24 - 250 g pkgs.,25,19.5,487.5,11/15/1996,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,Speedy Express,(503) 555-9831,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
337,Gorgonzola Telino,12 - 100 g pkgs,30,12.5,375,11/18/1996,Die Wandernde Kuh,Rita Müller,Adenauerallee 900,Stuttgart,70563,Germany,United Package,(503) 555-3199,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
338,Pâté chinois,24 boxes x 2 pies,12,24,288,11/18/1996,Die Wandernde Kuh,Rita Müller,Adenauerallee 900,Stuttgart,70563,Germany,United Package,(503) 555-3199,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
339,Gudbrandsdalsost,10 kg pkg.,20,36,720,11/18/1996,Die Wandernde Kuh,Rita Müller,Adenauerallee 900,Stuttgart,70563,Germany,United Package,(503) 555-3199,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
340,Ikura,12 - 200 ml jars,30,31,930,11/19/1996,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Federal Shipping,(503) 555-9931,Tokyo Traders,Yoshi Nagase,9-8 Sekimai Musashino-shi,Tokyo,100,Japan,(03) 3555-5011,Seafood,Seaweed and fish
341,Gumbar Gummibarchen,100 - 250 g bags,16,31.23,499.68,11/19/1996,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Federal Shipping,(503) 555-9931,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510,Confections,"Desserts, candies, and sweet breads"
342,Camembert Pierrot,15 - 300 g rounds,8,34,272,11/19/1996,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Federal Shipping,(503) 555-9931,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
343,Guarana Fantastica,12 - 355 ml cans,10,4.5,45,11/20/1996,La maison d'Asie,Annette Roulet,1 rue Alsace-Lorraine,Toulouse,31000,France,Speedy Express,(503) 555-9831,Refrescos Americanas LTDA,Carlos Diaz,Av. das Americanas 12.890,São Paulo,5442,Brazil,(11) 555 4640,Beverages,"Soft drinks, coffees, teas, beers, and ales"
344,Geitost,500 g,60,2.5,150,12/13/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
345,Longlife Tofu,5 kg pkg.,50,10,500,12/13/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,Tokyo Traders,Yoshi Nagase,9-8 Sekimai Musashino-shi,Tokyo,100,Japan,(03) 3555-5011,Produce,Dried fruit and bean curd
346,Konbu,2 kg box,20,6,120,12/16/1996,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,Federal Shipping,(503) 555-9931,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Seafood,Seaweed and fish
347,Valkoinen suklaa,12 - 100 g bars,15,16.25,243.75,12/16/1996,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,Federal Shipping,(503) 555-9931,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Confections,"Desserts, candies, and sweet breads"
348,Gnocchi di nonna Alice,24 - 250 g pkgs.,20,38,760,12/16/1996,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,Federal Shipping,(503) 555-9931,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
349,Lakkalikoori,500 ml,35,18,630,12/31/1996,Vaffeljernet,Palle Ibsen,Smagsløget 45,Århus,8200,Denmark,Federal Shipping,(503) 555-9931,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Beverages,"Soft drinks, coffees, teas, beers, and ales"
350,Sir Rodney's Marmalade,30 gift boxes,28,81,2268,12/16/1996,Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,Federal Shipping,(503) 555-9931,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
351,Camembert Pierrot,15 - 300 g rounds,15,34,510,12/16/1996,Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,Federal Shipping,(503) 555-9931,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
352,Uncle Bob's Organic Dried Pears,12 - 1 lb pkgs.,10,30,300,12/17/1996,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA,United Package,(503) 555-3199,Grandma Kelly's Homestead,Regina Murphy,707 Oxford Rd.,Ann Arbor,48104,USA,(313) 555-5735,Produce,Dried fruit and bean curd
353,Camembert Pierrot,15 - 300 g rounds,20,34,680,12/17/1996,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA,United Package,(503) 555-3199,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
354,Scottish Longbreads,10 boxes x 8 pieces,8,12.5,100,12/17/1996,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
355,Guarana Fantastica,12 - 355 ml cans,15,4.5,67.5,12/18/1996,Familia Arquibaldo,Aria Cruz,"Rua Orós, 92",São Paulo,05442-030,Brazil,Federal Shipping,(503) 555-9931,Refrescos Americanas LTDA,Carlos Diaz,Av. das Americanas 12.890,São Paulo,5442,Brazil,(11) 555 4640,Beverages,"Soft drinks, coffees, teas, beers, and ales"
356,Sasquatch Ale,24 - 12 oz bottles,10,14,140,12/18/1996,Familia Arquibaldo,Aria Cruz,"Rua Orós, 92",São Paulo,05442-030,Brazil,Federal Shipping,(503) 555-9931,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
357,Guarana Fantastica,12 - 355 ml cans,15,4.5,67.5,12/18/1996,Santé Gourmet,Jonas Bergulfsen,Erling Skakkes gate 78,Stavern,4110,Norway,United Package,(503) 555-3199,Refrescos Americanas LTDA,Carlos Diaz,Av. das Americanas 12.890,São Paulo,5442,Brazil,(11) 555 4640,Beverages,"Soft drinks, coffees, teas, beers, and ales"
358,Rossle Sauerkraut,25 - 825 g cans,6,45.6,273.6,12/18/1996,Santé Gourmet,Jonas Bergulfsen,Erling Skakkes gate 78,Stavern,4110,Norway,United Package,(503) 555-3199,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Produce,Dried fruit and bean curd
359,Raclette Courdavault,5 kg pkg.,12,55,660,12/18/1996,Santé Gourmet,Jonas Bergulfsen,Erling Skakkes gate 78,Stavern,4110,Norway,United Package,(503) 555-3199,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
360,Fløtemysost,10 - 500 g pkgs.,15,21.5,322.5,12/18/1996,Santé Gourmet,Jonas Bergulfsen,Erling Skakkes gate 78,Stavern,4110,Norway,United Package,(503) 555-3199,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
361,Rogede sild,1k pkg.,15,9.5,142.5,12/19/1996,Seven Seas Imports,Hari Kumar,90 Wadhurst Rd.,London,OX15 4NB,UK,Speedy Express,(503) 555-9831,Lyngbysild,Niels Petersen,Lyngbysild Fiskebakken 10,Lyngby,2800,Denmark,43844108,Seafood,Seaweed and fish
362,Filo Mix,16 - 2 kg boxes,20,7,140,12/19/1996,Seven Seas Imports,Hari Kumar,90 Wadhurst Rd.,London,OX15 4NB,UK,Speedy Express,(503) 555-9831,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Grains/Cereals,"Breads, crackers, pasta, and cereal"
363,Perth Pasties,48 pieces,40,32.8,1312,12/19/1996,Seven Seas Imports,Hari Kumar,90 Wadhurst Rd.,London,OX15 4NB,UK,Speedy Express,(503) 555-9831,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Meat/Poultry,Prepared meats
364,Ikura,12 - 200 ml jars,16,31,496,12/20/1996,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,United Package,(503) 555-3199,Tokyo Traders,Yoshi Nagase,9-8 Sekimai Musashino-shi,Tokyo,100,Japan,(03) 3555-5011,Seafood,Seaweed and fish
365,Pâté chinois,24 boxes x 2 pies,15,24,360,12/20/1996,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,United Package,(503) 555-3199,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
366,Tarte au sucre,48 pies,20,49.3,986,12/20/1996,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,United Package,(503) 555-3199,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,Confections,"Desserts, candies, and sweet breads"
367,Outback Lager,24 - 355 ml bottles,30,15,450,12/20/1996,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,United Package,(503) 555-3199,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Beverages,"Soft drinks, coffees, teas, beers, and ales"
368,Gorgonzola Telino,12 - 100 g pkgs,60,12.5,750,12/23/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
369,Steeleye Stout,24 - 12 oz bottles,40,18,720,12/23/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
370,Spegesild,4 - 450 g glasses,45,12,540,12/23/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,Lyngbysild,Niels Petersen,Lyngbysild Fiskebakken 10,Lyngby,2800,Denmark,43844108,Seafood,Seaweed and fish
371,Mozzarella di Giovanni,24 - 200 g pkgs.,24,34.8,835.2,12/23/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
372,Konbu,2 kg box,18,6,108,12/23/1996,Drachenblut Delikatessend,Sven Ottlieb,Walserweg 21,Aachen,52066,Germany,Federal Shipping,(503) 555-9931,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Seafood,Seaweed and fish
373,Gudbrandsdalsost,10 kg pkg.,50,36,1800,12/24/1996,Piccolo und mehr,Georg Pipps,Geislweg 14,Salzburg,5020,Austria,Federal Shipping,(503) 555-9931,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
374,Chang,24 - 12 oz bottles,25,19,475,12/25/1996,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,Federal Shipping,(503) 555-9931,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
375,Tofu,40 - 100 g pkgs.,42,23.25,976.5,12/25/1996,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,Federal Shipping,(503) 555-9931,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Produce,Dried fruit and bean curd
376,NuNuCa Nup-Nougat-Creme,20 - 450 g glasses,7,14,98,12/25/1996,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,Federal Shipping,(503) 555-9931,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510,Confections,"Desserts, candies, and sweet breads"
377,Gumbar Gummibarchen,100 - 250 g bags,70,31.23,2186.1,12/25/1996,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,Federal Shipping,(503) 555-9931,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510,Confections,"Desserts, candies, and sweet breads"
378,Gorgonzola Telino,12 - 100 g pkgs,32,12.5,400,12/25/1996,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,Federal Shipping,(503) 555-9931,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
379,Konbu,2 kg box,10,6,60,12/25/1996,Hungry Coyote Import Store,Yoshi Latimer,City Center Plaza 516 Main St.,Elgin,97827,USA,Federal Shipping,(503) 555-9931,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Seafood,Seaweed and fish
380,Tarte au sucre,48 pies,10,49.3,493,12/25/1996,Hungry Coyote Import Store,Yoshi Latimer,City Center Plaza 516 Main St.,Elgin,97827,USA,Federal Shipping,(503) 555-9931,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,Confections,"Desserts, candies, and sweet breads"
381,Spegesild,4 - 450 g glasses,28,12,336,12/26/1996,HILARIÓN-Abastos,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,Speedy Express,(503) 555-9831,Lyngbysild,Niels Petersen,Lyngbysild Fiskebakken 10,Lyngby,2800,Denmark,43844108,Seafood,Seaweed and fish
382,Perth Pasties,48 pieces,70,32.8,2296,12/26/1996,HILARIÓN-Abastos,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,Speedy Express,(503) 555-9831,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Meat/Poultry,Prepared meats
383,Gudbrandsdalsost,10 kg pkg.,8,36,288,12/26/1996,HILARIÓN-Abastos,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,Speedy Express,(503) 555-9831,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
384,Tunnbrod,12 - 250 g pkgs.,40,9,360,12/27/1996,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,Federal Shipping,(503) 555-9931,PB Knäckebröd AB,Lars Peterson,Kaloadagatan 13,Göteborg,S-345 67,Sweden,031-987 65 43,Grains/Cereals,"Breads, crackers, pasta, and cereal"
385,Fløtemysost,10 - 500 g pkgs.,60,21.5,1290,12/27/1996,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,Federal Shipping,(503) 555-9931,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
386,Cote de Blaye,12 - 75 cl bottles,10,263.5,2635,11/22/1996,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,Federal Shipping,(503) 555-9931,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68,Beverages,"Soft drinks, coffees, teas, beers, and ales"
387,Maxilaku,24 - 50 g pkgs.,35,20,700,11/22/1996,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,Federal Shipping,(503) 555-9931,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Confections,"Desserts, candies, and sweet breads"
388,Tourtière,16 pies,28,7.45,208.6,11/22/1996,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,Federal Shipping,(503) 555-9931,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
389,Chartreuse verte,750 cc per bottle,54,18,972,11/22/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,United Package,(503) 555-3199,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68,Beverages,"Soft drinks, coffees, teas, beers, and ales"
390,Camembert Pierrot,15 - 300 g rounds,55,34,1870,11/22/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,United Package,(503) 555-3199,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
391,NuNuCa Nup-Nougat-Creme,20 - 450 g glasses,50,14,700,11/25/1996,Bon app',Laurence Lebihans,"12, rue des Bouchers",Marseille,13008,France,Speedy Express,(503) 555-9831,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510,Confections,"Desserts, candies, and sweet breads"
392,Manjimup Dried Apples,50 - 300 g pkgs.,20,53,1060,11/25/1996,Bon app',Laurence Lebihans,"12, rue des Bouchers",Marseille,13008,France,Speedy Express,(503) 555-9831,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Produce,Dried fruit and bean curd
393,Tourtière,16 pies,24,7.45,178.8,11/25/1996,Bon app',Laurence Lebihans,"12, rue des Bouchers",Marseille,13008,France,Speedy Express,(503) 555-9831,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
394,Gorgonzola Telino,12 - 100 g pkgs,20,12.5,250,11/26/1996,Drachenblut Delikatessend,Sven Ottlieb,Walserweg 21,Aachen,52066,Germany,Federal Shipping,(503) 555-9931,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
